class,temper_aver,prec_aver,soil_type,soil_structure,landform,corrosion_degree,Drainage_degree,soil_depth,LV2_CODE,lithoidx,FIFTH_FRTP,DMCLS,AGCLS,slope,dem
0,9.84167,106.16666,13,4,1,2,1,3,320,12,14,2,3,7.71453,278.45615
0,11.64167,105.58334,999,999,999,999,999,999,120,66,1,1,1,0.21949,16.45791
0,11.21667,108.33334,13,4,1,2,2,3,310,56,16,2,4,2.96137,130.65054
0,11.08333,106.08334,999,999,999,999,999,999,710,1,1,1,1,0.89234,24.81643
0,8.75,109.5,13,4,1,2,1,3,210,12,1,1,1,4.27354,555.99615
0,9.85833,109.66666,13,4,1,2,1,3,310,12,14,1,2,17.56911,377.78394
0,9.64167,109.83334,13,4,1,2,2,2,320,60,14,3,6,22.45202,312.89059
0,11.99167,107.66666,7,4,4,1,2,4,110,12,1,1,1,5.48669,56.88124
0,9.20833,108.25,13,4,1,2,1,2,320,9,15,3,5,19.86729,619.81226
0,9.91667,107.16666,7,4,4,1,2,4,320,47,15,2,4,16.59782,256.54666
0,8.075,111.16666,999,999,999,999,999,999,320,33,4,4,7,15.06192,818.65839
0,7.69167,110.25,13,7,1,1,2,3,320,47,15,3,5,13.42868,768.24622
0,10.79167,104.08334,13,5,1,2,2,3,330,7,15,3,6,14.16795,231.2119
0,7.325,114.75,13,1,1,2,1,1,310,50,6,3,6,10.44136,785.12305
0,11.15,105.75,8,4,2,2,1,3,320,12,16,2,4,6.93349,79.89919
0,11.05833,107.41666,3,10,4,1,4,4,330,12,9,3,5,8.0014,113.52057
0,11.36667,104.83334,8,7,2,2,2,3,210,12,1,1,1,3.55237,60.70896
0,8.53333,108.66666,10,5,3,1,2,3,320,63,9,3,5,28.12427,640.03876
0,11.85833,109.91666,10,8,3,1,3,2,110,12,1,1,1,2.03415,29.51122
0,10.58333,106.08334,3,10,4,1,4,4,220,12,1,1,1,7.00739,164.33423
0,8.85833,109,13,2,1,2,1,2,330,4,9,3,6,7.36054,700.98779
0,10.025,107.25,13,4,1,2,2,3,620,60,14,2,4,9.00479,216.47757
0,10.425,107.83334,13,4,1,2,1,3,620,47,9,3,5,9.94977,159.54376
0,9.61667,107.5,13,4,1,2,2,3,310,54,6,3,5,10.14578,295.89017
0,11.21667,107.33334,3,10,7,1,4,4,210,66,1,1,1,0.20938,37.30705
0,11.875,112.58334,2,11,6,1,3,4,210,12,1,1,1,1.93193,72.16164
0,9.325,108.75,13,4,1,2,1,3,320,40,15,2,3,14.14291,471.05093
0,10.375,106.41666,13,4,1,2,1,3,330,12,9,3,5,13.99521,279.15527
0,11.05,107.08334,13,4,1,3,1,3,220,12,1,1,1,4.97574,128.91605
0,10.85833,108.16666,3,10,4,1,4,4,320,12,16,3,5,9.76436,154.09821
0,9.225,106.08334,13,1,1,2,1,1,320,12,4,3,6,16.60405,423.49493
0,10.99167,107.66666,8,4,2,2,1,3,220,12,1,1,1,1.96631,98.78823
