Name,xcoord,ycoord
Salix koreensis Andersson,262139.383200000040233,503505.711799999698997
Salix koreensis Andersson,296705.693300000391901,507042.202299999073148
Salix koreensis Andersson,296705.693300000391901,507042.202299999073148
Salix koreensis Andersson,296705.693300000391901,507042.202299999073148
Salix koreensis Andersson,283935.279699999839067,502827.147600000724196
Salix koreensis Andersson,268199.061499999836087,495242.822399999946356
Salix koreensis Andersson,321179.831699999980628,512103.227900000289083
Salix koreensis Andersson,319609.166699999943376,511710.707000000402331
Salix koreensis Andersson,346732.816399999894202,495769.888499999418855
Salix koreensis Andersson,352632.870299999602139,513136.402200000360608
Salix koreensis Andersson,339954.810499999672174,511845.712400000542402
Salix koreensis Andersson,364482.716199999675155,471363.632200000807643
Salix koreensis Andersson,230203.917799999937415,472303.867900000885129
Salix koreensis Andersson,230203.917799999937415,472303.867900000885129
Salix koreensis Andersson,227074.319799999706447,481016.365499999374151
Salix koreensis Andersson,227074.319799999706447,481016.365499999374151
Salix koreensis Andersson,351324.938799999654293,482099.018899999558926
Salix koreensis Andersson,213822.438699999824166,485420.565799999982119
Salix koreensis Andersson,198362.836900000460446,487271.445100000128150
Salix koreensis Andersson,198362.836900000460446,487271.445100000128150
Salix koreensis Andersson,198842.663900000043213,487662.777799999341369
Salix koreensis Andersson,198842.663900000043213,487662.777799999341369
Salix koreensis Andersson,227400.867700000293553,552375.858799999579787
Salix koreensis Andersson,258774.669300000183284,561570.720499999821186
Salix koreensis Andersson,258774.669300000183284,561570.720499999821186
Salix koreensis Andersson,206034.410099999979138,567340.212600000202656
Salix koreensis Andersson,253461.152999999932945,569341.436599999666214
Salix koreensis Andersson,276704.423600000329316,570616.306399999186397
Salix koreensis Andersson,276704.423600000329316,570616.306399999186397
Salix koreensis Andersson,276704.423600000329316,570616.306399999186397
Salix koreensis Andersson,313606.887199999764562,559464.994500000029802
Salix koreensis Andersson,261371.104600000195205,568123.070000000298023
Salix koreensis Andersson,261371.104600000195205,568123.070000000298023
Salix koreensis Andersson,343843.079300000332296,525656.444299999624491
Salix koreensis Andersson,291671.653099999763072,560470.692299999296665
Salix koreensis Andersson,288450.835599999874830,501600.827999999746680
Salix koreensis Andersson,282569.892300000414252,508299.602499999105930
Salix koreensis Andersson,285658.567699999548495,500813.559599999338388
Salix koreensis Andersson,282694.188599999994040,503426.286499999463558
Salix koreensis Andersson,239876.284599999897182,535097.706700000911951
Salix koreensis Andersson,227813.626600000075996,536050.770199999213219
Salix koreensis Andersson,251373.177299999631941,495234.938799999654293
