Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.08384E-4,21.503889892,0.258075811,0.214790485,0.127659574,0
1.09317E-4,21.754218699,0.259979226,0.212501244,0.127659574,0
1.10102E-4,22.006657554,0.26157742,0.210212004,0.127659574,0
1.11782E-4,22.250780809,0.26498794,0.208022295,0.127659574,0
1.12857E-4,22.509182359,0.267160366,0.205733055,0.127659574,0
1.13587E-4,22.758188652,0.268631105,0.203543346,0.127659574,0
1.1485E-4,23.009526783,0.271172186,0.201353638,0.14893617,0
1.16371E-4,23.252267784,0.274217317,0.199263462,0.14893617,0
1.17713E-4,23.509718434,0.276895063,0.197073753,0.14893617,0
1.19229E-4,23.758705067,0.279908819,0.194983577,0.14893617,0
1.20693E-4,24.010738123,0.282807125,0.192893401,0.14893617,0
1.22426E-4,24.254048013,0.286220837,0.190902757,0.14893617,0
1.23441E-4,24.512343145,0.288214242,0.188812581,0.14893617,0
1.24941E-4,24.760746925,0.291149311,0.186821937,0.14893617,0
1.26952E-4,25.000402744,0.29506336,0.184930825,0.14893617,0
1.28688E-4,25.256665889,0.298425609,0.182940181,0.14893617,0
1.29939E-4,25.502323802,0.300839672,0.181049069,0.14893617,0
1.3128E-4,25.750441322,0.303417536,0.179157958,0.14893617,0
1.32594E-4,26.000922171,0.305933658,0.177266846,0.14893617,0
1.33753E-4,26.253917872,0.308145685,0.175375734,0.14893617,0
1.35514E-4,26.510043725,0.311492494,0.173484622,0.14893617,0
1.36986E-4,26.755467399,0.314277871,0.171693043,0.14893617,0
1.38244E-4,27.003105206,0.316650708,0.169901463,0.14893617,0
1.40401E-4,27.254472022,0.320696784,0.168109884,0.14893617,0
1.41861E-4,27.508733393,0.323423226,0.166318304,0.14893617,0
1.43073E-4,27.751108235,0.325678858,0.164626257,0.14893617,0
1.44974E-4,28.01047798,0.329198911,0.162834677,0.14893617,0
1.46268E-4,28.25806439,0.33158663,0.16114263,0.14893617,0
1.47827E-4,28.507989007,0.33444976,0.159450582,0.14893617,0
1.49027E-4,28.760390115,0.336645205,0.157758535,0.170212766,0
1.5079E-4,29.000439819,0.339858838,0.15616602,0.170212766,0
1.52137E-4,29.257824599,0.342303719,0.154473972,0.170212766,0
1.53559E-4,29.502425486,0.344873688,0.152881457,0.170212766,0
1.5468E-4,29.764403927,0.346893853,0.15118941,0.170212766,0
1.56603E-4,30.013866818,0.350344507,0.149596895,0.170212766,0
1.58109E-4,30.265619105,0.353033677,0.148004379,0.170212766,0
1.59751E-4,30.50416282,0.35595185,0.146511396,0.191489362,0
1.60938E-4,30.760854175,0.358054541,0.144918881,0.191489362,0
1.62451E-4,31.003500419,0.36072308,0.143425898,0.191489362,0
1.64086E-4,31.264539947,0.363596608,0.141833383,0.191489362,0
1.66641E-4,31.512341599,0.36805758,0.1403404,0.191489362,0
1.68121E-4,31.76347965,0.370629773,0.138847417,0.191489362,0
1.70179E-4,32.00053052,0.374186774,0.137453966,0.191489362,0
1.719E-4,32.25698776,0.377146026,0.135960983,0.191489362,0
1.73423E-4,32.516107875,0.379752388,0.134468,0.191489362,0
